施設種別,名称,住所,備考,経度,緯度
給水施設,花尾小学校,花尾町170,,130.49269,31.70509
給水施設,大浦構造改善センター,郡山町4419-1,,130.46547,31.71568
給水施設,西有里研修館,西俣町2948,,130.45594,31.67878
給水施設,かごしま健康の森公園,犬迫町825,,130.50247,31.64547
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,, ,,
