UNID,名称,所在地,経度,緯度
409,宮小学校,宮之浦町１９５３,130.5650674,31.67640174
410,牟礼岡小学校,牟礼岡１丁目１－１,130.5851233,31.67921922
411,吉田小学校,西佐多町１８５－４,130.5682364,31.73665371
412,吉田北中学校,西佐多町２６９,130.5679544,31.73773359
413,吉田南中学校,本名町５６５,130.547872,31.68910002
414,桜洲小学校,桜島小池町５５,130.6081846,31.59734002
415,鹿児島市改新交流センター（旧改新小学校グラウンド）,古里町２６２,130.6497046,31.55079385
416,黒神小学校,黒神町２５６１,130.708123,31.59237028
417,桜峰小学校,桜島松浦町３５５,130.643732,31.62057704
418,高免小学校,高免町３２,130.6835531,31.62126181
419,東桜島小学校,東桜島町１７,130.630259,31.55710129
420,黒神中学校,黒神町６４７,130.7061013,31.58428501
421,桜島中学校,桜島藤野町１３４２,130.6325642,31.62093081
422,東桜島中学校,東桜島町８１０,130.6366977,31.55268802
423,生見小学校,喜入生見町１３６５,130.5709564,31.31174845
424,一倉小学校,喜入一倉町５３３５,130.5224757,31.35102859
425,喜入小学校,喜入町６９９３,130.5412625,31.37466777
426,瀬々串小学校,喜入瀬々串町３１０３－２,130.5203054,31.42223268
427,中名小学校,喜入中名町１０７９,130.5332043,31.39105589
428,前之浜小学校,喜入前之浜町７０３６,130.55135,31.34331098
429,喜入中学校,喜入町７１４３,130.536425,31.37103821
430,石谷小学校,石谷町１３６０,130.4598507,31.61224102
431,春山小学校,春山町１８２４－２,130.4569208,31.58352885
432,東昌小学校,直木町４３０７－１,130.4167658,31.58418184
433,松元小学校,上谷口町９５６－１,130.4351202,31.60611989
434,松元中学校,上谷口町２９９４－２,130.4348357,31.601199
435,郡山小学校,郡山町２０８０,130.468262,31.68070989
436,南方小学校,川田町１４１５,130.5054334,31.67777902
437,花尾小学校,花尾町１７０,130.4928955,31.70471578
438,郡山中学校,郡山町１５００,130.4704191,31.67933506
439,小山田農村広場,,130.4900418,31.65590193
440,皆与志農村広場,,130.5208999,31.67625044
441,都市農村交流センターお茶の里,,130.4564564,31.58000492
442,入佐農村広場,,130.410375,31.59098723
443,直木農村広場,,130.4267141,31.58294996
