UNID,名称,所在地,経度,緯度
100,西郷公園,武２丁目２８番,130.5368877,31.58395534
101,白金台公園,田上５丁目５６番,130.516581,31.57578883
102,田上公園,田上１丁目２５番　,130.5294166,31.57686741
103,田上台公園,田上台２丁目４０番,130.5221329,31.57073312
104,田上団地第２公園,田上台４丁目４６番,130.5206699,31.5741318
105,田上団地第３公園,田上台４丁目３７番,130.518139,31.57597272
106,田上団地第４公園,田上台４丁目２９番,130.5151183,31.57369113
107,田上団地第五公園,田上台４丁目１８番,130.5167682,31.57248418
108,武岡北公園,武岡１丁目４番,130.522599,31.59171705
109,武岡下公園,武岡３丁目３３番,130.5154361,31.59094057
110,武岡ハイランド第一公園,武岡４丁目３２番,130.5098597,31.59302871
111,武岡ハイランド第五公園,武岡５丁目２６番,130.5080918,31.59698851
112,武岡ハイランド第三公園,武岡５丁目４番,130.5107064,31.59671538
113,武岡ハイランド第二公園,武岡４丁目１８番,130.5116203,31.59495847
114,武岡ハイランド第六公園,武岡５丁目２８番,130.506586,31.59603975
115,武岡東公園,武岡１丁目１７番,130.5203825,31.59102426
116,武岡ピュア公園,武岡１丁目１０１番,130.523621,31.58730321
117,武岡南公園,武岡１丁目２７番,130.5222126,31.58885427
118,武岡やまびこ公園,武岡１丁目４４番,130.517971,31.58967653
119,武之台公園,武３丁目３８番,130.5295567,31.58011288
120,天神公園,田上２丁目３１番,130.5310955,31.57552359
121,唐湊公園,唐湊２丁目５番,130.5338204,31.57025447
122,西陵第１公園,西陵１丁目２６番,130.515295,31.58138428
123,西陵第１０公園,西陵３丁目４２番,130.5134229,31.58479414
124,西陵第１１公園,西陵３丁目２番,130.5106502,31.58392139
125,西陵第１２公園,西陵６丁目１０番,130.5059422,31.5800041
126,西陵第１３公園,西陵６丁目１７番,130.5036604,31.58143613
127,西陵第１４公園,西陵７丁目２番,130.5048502,31.58383889
128,西陵第１５公園,西陵８丁目２８番,130.5016277,31.58423812
129,西陵第１６公園,西陵７丁目２９番,130.5079905,31.58517851
130,西陵第１７公園,西陵８丁目４１番,130.4984652,31.58502431
131,西陵第２公園,西陵１丁目１３番,130.5177169,31.58038224
132,西陵第４公園,西陵１丁目３１番,130.5175128,31.5814882
133,西陵第８公園,西陵２丁目１３番,130.5135872,31.58003254
134,西陵第９公園,西陵３丁目２６番,130.513697,31.58272433
135,美尾崎公園,田上１丁目１１番　,130.5325195,31.57625448
136,広木公園,田上町３９１０番付近,130.5139613,31.57047748
137,武公園,武１丁目１８番１２,130.5409559,31.5796246
138,武岡中央公園,武岡２丁目２５番,130.5148019,31.59282043
139,向陽台公園,向陽１丁目５５１９番１３,130.5175043,31.55981264
140,八洲ハイツ第二公園,向陽１丁目５５０８番２５,130.5173745,31.55839688
141,柳田公園,武３丁目１２番,130.5360164,31.57771733
142,池田公園,自由ヶ丘２丁目２５番,130.5105989,31.5411177
143,射場前公園,小松原１丁目６８番,130.5292583,31.53148755
144,入来公園,東谷山７丁目１９番,130.517419,31.54116448
145,上田公園,東谷山５丁目３２番,130.515127,31.52985889
146,魚見第１公園,魚見町１１０番１,130.5254133,31.53903668
147,魚見第２公園,魚見町１２９番１,130.5203276,31.5414254
148,魚見第３公園,魚見町１３６番１,130.5196356,31.54304117
149,魚見第４公園,魚見町１５６番１,130.515768,31.54334627
150,魚見第５公園,魚見町１６２番２,130.5185555,31.54516297
151,後迫公園,中山２丁目３４番,130.5055166,31.5517365
152,江月庵公園,東谷山６丁目３０番,130.5202358,31.53901868
153,大川内公園,星ヶ峯６丁目６０番,130.4932218,31.57108515
