災害時給水ステーション（給水拠点）一覧表,,,,,,,,,,,,別紙
（１）区部の給水拠点（応急給水槽、浄水場、給水所等）,,,,,,,,,,,,平成31年4月1日現在
,【水道局設置分】,,,,(m3),,,,,,,(m3)
48,渋谷区,都立代々木公園,★,代々木神園町二番1号,"1,500",,,区部【水道局設置分】小計　（104か所）,,,,"689,480"
49,,都立第一商業高等学校,☆,鉢山町8番1号,100,,,"★：応急給水槽（1,500m3槽） ☆：小規模応急給水槽（100m3槽）",,,,
50,,区立景丘公園,☆,恵比寿四丁目19番21号,100,,,【都市整備局等所管分】,,,,
51,中野区,区立弥生公園,☆,弥生町五丁目4番,100,,番号,区名,施設名,,所在地,確保水量
52,,区立江古田の森公園,☆,江古田三丁目14番,100,,105,墨田区,白鬚東地区防災拠点,,堤通二丁目,"2,700"
53,,区立みずのとう公園,☆,江古田一丁目3番,100,,,※白鬚東地区防災拠点は、既存の貯水槽を給水拠点に位置づける。,,,,
54,杉並区,杉並浄水所（注1）,,善福寺三丁目28番5号,0,,区部合計確保水量　（105か所）,,,,"692,180",
55,,和泉水圧調整所,,和泉二丁目5番23号,"16,600",,,,,,,
56,,上井草給水所,,上井草三丁目22番12号,"60,000",,,,,,,
57,,都立和田堀公園,★,大宮二丁目26番,"1,500",,,,,,,
(注1）,杉並浄水所は、平成28年12月28日から運用を停止している。,,,,,,,,,,,
（２）　多摩地区の給水拠点（応急給水槽、浄水場、給水所等）等,,,,,,,,,,,,平成31年4月1日現在
,【都営水道市町】,,,,(m3),,,,,,,(m3)
番号,市町名,施設名,,所在地,確保水量,,番号,市町名,施設名,,所在地,確保水量
,,,,,,,,,,,,
1,八王子市,鑓水給水所,,鑓水401番地,"1,660",,61,日野市,三沢配水所,,三沢905番地の2,"1,490"
2,,西寺方給水所,,西寺方町1006番地167,"1,660",,62,,日野旭が丘給水所,,旭が丘二丁目42番地の2,"1,660"
3,,狭間給水所,,狭間町1994番地478,"5,000",,63,東村山市,八坂給水所,,富士見町五丁目4番地46,"20,000"
4,,犬目第二給水所,,犬目町710番地,"1,760",,64,,東村山浄水場,,美住町二丁目20番地236,"36,000"
5,,高月給水所,,高月町2240番地,"5,000",,65,,美住給水所（注3）,,美住町二丁目13番地4,"2,020"
